date,open,high,low,close
6/22/20,7.0801,7.0813,7.0677,7.0684
6/19/20,7.0883,7.0913,7.0705,7.0714
6/18/20,7.0921,7.0932,7.0715,7.0892
6/17/20,7.087,7.0964,7.0844,7.0855
6/16/20,7.0758,7.088,7.0697,7.0862
6/15/20,7.0872,7.0982,7.0859,7.0905
6/12/20,7.0833,7.0882,7.0717,7.0836
6/11/20,7.0599,7.0749,7.0564,7.065
6/10/20,7.0794,7.0838,7.0579,7.0609
6/9/20,7.0725,7.0902,7.072,7.0774
6/8/20,7.0835,7.0904,7.0699,7.0716
6/5/20,7.1051,7.1145,7.0821,7.0835
6/4/20,7.1202,7.1303,7.1068,7.1103
6/3/20,7.0913,7.1257,7.0913,7.1139
6/2/20,7.1167,7.1231,7.099,7.1013
6/1/20,7.1152,7.1393,7.1107,7.1278
5/29/20,7.1551,7.1554,7.1324,7.1356
5/28/20,7.1636,7.1682,7.1443,7.1453
5/27/20,7.1353,7.1775,7.1353,7.1679
5/26/20,7.1331,7.138,7.1268,7.135
5/25/20,7.1347,7.1427,7.1347,7.1368
5/22/20,7.1151,7.1437,7.114,7.1297
5/21/20,7.0986,7.1153,7.0964,7.1153
5/20/20,7.101,7.1091,7.0935,7.0935
5/19/20,7.1021,7.1123,7.0982,7.099
5/18/20,7.1043,7.1195,7.1023,7.1095
5/15/20,7.0974,7.1089,7.0957,7.1019
5/14/20,7.0951,7.1029,7.0929,7.0957
5/13/20,7.0903,7.0961,7.0823,7.0926
5/12/20,7.0955,7.0997,7.0794,7.0827
5/11/20,7.0768,7.0989,7.0727,7.0989
5/8/20,7.0744,7.0802,7.0709,7.074
5/7/20,7.1052,7.1076,7.0841,7.0843
5/6/20,7.0992,7.1058,7.0869,7.1046
4/30/20,7.0659,7.0676,7.0477,7.0628
4/29/20,7.0751,7.081,7.0717,7.0768
4/28/20,7.0835,7.0897,7.075,7.0796
4/27/20,7.0721,7.0893,7.0718,7.0864
4/24/20,7.0808,7.0871,7.076,7.0815
4/23/20,7.083,7.0865,7.0665,7.0668
4/22/20,7.0894,7.091,7.0787,7.0842
4/21/20,7.0819,7.0987,7.0809,7.092
4/20/20,7.079,7.0822,7.0686,7.073
4/17/20,7.0677,7.0821,7.0665,7.0737
4/16/20,7.0723,7.0831,7.0704,7.0798
4/15/20,7.0477,7.0684,7.0467,7.0676
4/14/20,7.05,7.0627,7.0407,7.0485
4/13/20,7.0419,7.0562,7.0411,7.0515
4/10/20,7.0472,7.0473,7.0301,7.036
4/9/20,7.0648,7.073,7.0349,7.0429
4/8/20,7.0595,7.0723,7.0591,7.0659
4/7/20,7.0879,7.0887,7.0455,7.0457
4/3/20,7.0885,7.0989,7.0823,7.0915
4/2/20,7.1206,7.1259,7.0857,7.0858
4/1/20,7.0822,7.1066,7.0813,7.0999
3/31/20,7.0964,7.1007,7.0814,7.0822
3/30/20,7.0915,7.1039,7.0883,7.1003
3/27/20,7.0646,7.0978,7.0581,7.096
3/26/20,7.0951,7.1216,7.0703,7.0727
3/25/20,7.06,7.1169,7.0513,7.1121
3/24/20,7.0871,7.0913,7.0573,7.063
3/23/20,7.0984,7.1216,7.0801,7.0899
3/20/20,7.1075,7.1075,7.0526,7.0962
3/19/20,7.0534,7.1264,7.0531,7.1086
3/18/20,7.0132,7.0478,7.0073,7.0475
3/17/20,6.9932,7.0233,6.987,7.0047
3/16/20,7.002,7.0236,6.9925,6.9931
3/13/20,7.0283,7.0334,6.9773,7.0087
3/12/20,6.977,7.0367,6.9685,7.0298
3/11/20,6.9633,6.9653,6.9458,6.9606
3/10/20,6.9403,6.9607,6.9311,6.958
3/9/20,6.9104,6.9537,6.9104,6.9465
3/6/20,6.943,6.958,6.9257,6.9311
3/5/20,6.9404,6.9439,6.9338,6.9362
3/4/20,6.9454,6.9518,6.9225,6.926
3/3/20,6.9624,6.9833,6.9606,6.963
3/2/20,6.9737,6.9768,6.9542,6.9609
2/28/20,7.0042,7.0122,6.9819,6.9921
2/27/20,7.0159,7.0216,7.0044,7.0044
2/26/20,7.0244,7.0253,7.0163,7.0227
2/25/20,7.0127,7.0195,7.0094,7.0135
2/24/20,7.0409,7.0409,7.0276,7.0294
2/21/20,7.0286,7.0428,7.0268,7.0271
2/20/20,7.0082,7.0257,7.0045,7.023
2/19/20,7.0077,7.0127,6.9892,6.9983
2/18/20,6.9847,7.0069,6.9847,6.9963
2/17/20,6.9815,6.9827,6.9731,6.9813
2/14/20,6.9819,6.9883,6.9792,6.9869
2/13/20,6.9757,6.9853,6.9757,6.9772
2/12/20,6.9691,6.9764,6.9594,6.9719
2/11/20,6.9763,6.982,6.9628,6.966
2/10/20,7.0015,7.0025,6.9776,6.9844
2/7/20,6.9771,7.0025,6.9769,7.0024
